id,column_id,serial_number,model,atype,status,installation_date,last_inspection_date,inspection_certificate,information,notes,created_at,updated_at
1,1,3163,Standard,Residential,Active,20/2/2019,22/3/2018,Not Certified,Look at me,Not an interesting note,6/28/2018,3/22/2018
2,2,7598,Premium,Corporate,Active,23/7/2018,31/10/2018,Certified,Best 0-100 mph,Long note,12/17/2018,1/14/2019
3,3,5095,Premium,Commercial,Active,22/7/2018,13/4/2018,Certified,Shinny elevator,Not an interesting note,4/11/2018,10/15/2018
4,4,1371,Standard,Hybrid,Active,28/10/2018,7/7/2018,Certified,Best 0-100 mph,Long note,9/3/2018,4/7/2018
5,5,2129,Standard,Residential,Active,25/7/2018,20/9/2018,Certified,Nice music,This is a note,2/24/2019,7/25/2018
6,6,9264,Standard,Corporate,Active,22/2/2019,20/6/2018,Certified,Best 0-100 mph,Long note,12/4/2018,4/28/2018
7,7,9537,Excelium,Commercial,Active,4/9/2018,12/11/2018,Certified,Best 0-100 mph,Not an interesting note,2/9/2019,2/3/2019
8,8,6385,Standard,Hybrid,Active,10/12/2018,11/3/2019,Certified,Best 0-100 mph,Useless note,4/28/2018,5/21/2018
9,9,2348,Standard,Residential,Active,7/1/2019,17/12/2018,Certified,This in an interesting information,Long note,12/3/2018,12/20/2018
10,10,4180,Standard,Corporate,Active,28/10/2018,30/6/2018,Certified,This in an interesting information,This is a note,1/17/2019,5/21/2018
11,11,7847,Excelium,Commercial,Active,9/8/2018,21/2/2019,Certified,Shinny elevator,Not an interesting note,11/24/2018,1/22/2019
12,12,6752,Premium,Hybrid,Active,30/6/2018,18/8/2018,Certified,Nice music,This is a note,12/27/2018,4/30/2018
13,13,2640,Excelium,Residential,Active,25/12/2018,1/1/2019,Certified,Best 0-100 mph,Long note,11/9/2018,3/20/2018
14,14,2106,Excelium,Corporate,Active,14/7/2018,28/5/2018,Certified,Shinny elevator,This is a note,9/14/2018,12/28/2018
15,15,8248,Standard,Commercial,Active,29/8/2018,16/9/2018,Certified,Nice music,Useless note,3/2/2019,8/8/2018
16,16,9058,Premium,Hybrid,Active,26/4/2018,12/3/2019,Certified,Shinny elevator,Not an interesting note,7/16/2018,9/26/2018
